Rider,	Split1,	Split2,	Split3,	Split4,	Speed,	Lap,	Time,	
13,	5156,	30815,	30307,	37571,	234.3,	143849,	95208212,	
13,	5107,	30806,	30517,	37439,	237.4,	143869,	95352081,	
14,	10664,	39653,	36919,	40891,	157.2,	208127,	93742615,	
14,	5562,	34028,	34115,	38972,	216.9,	152677,	93935292,	
14,	5308,	32656,	32856,	39047,	229.8,	149867,	94125159,	
14,	5199,	30843,	30620,	50047,	233.3,	156709,	94321868,	
14,	5179,	30714,	34717,	38744,	234.8,	149354,	94511222,	
14,	5187,	34970,	35276,	37848,	231.8,	153281,	94704503,	
14,	5197,	30528,	34905,	58432,	234.3,	209062,	94913565,	
14,	5136,	31016,	34782,	42281,	235.3,	153215,	95106780,	
14,	5134,	30887,	30434,	37225,	234.8,	143680,	95250460,	
14,	5158,	30722,	30515,	37389,	235.8,	143784,	95434244,	
15,	12801,	44757,	41159,	42761,	127.8,	221478,	93909317,	
15,	5356,	35491,	37467,	40381,	226.9,	158695,	94108012,	
15,	5331,	33307,	35655,	54053,	227.4,	208346,	94316358,	
15,	5235,	32788,	31929,	37784,	232.3,	147736,	94504094,	
15,	5236,	31927,	31699,	39128,	231.3,	147990,	94652084,	
15,	5195,	38602,	43160,	57087,	232.8,	224044,	94916128,	
15,	5220,	31775,	31925,	42976,	232.3,	151896,	95108024,	
15,	5160,	31645,	31746,	37530,	234.3,	146081,	95254105,	
15,	5217,	31283,	31254,	37784,	233.3,	145538,	95439643,	
16,	11714,	40861,	39236,	42977,	154.3,	214788,	94037854,	
16,	5534,	36951,	35456,	41402,	223.6,	159343,	94237197,	
16,	5348,	34463,	37287,	42656,	227.8,	159754,	94436951,	
16,	5126,	31713,	30666,	37280,	236.3,	144785,	94621736,	
16,	5134,	31147,	30180,	37533,	237.4,	143994,	94805730,	
16,	5158,	33134,	36150,	43343,	234.8,	157785,	95003515,	
16,	5134,	31808,	30749,	39917,	236.3,	147608,	95151123,	
16,	5108,	31186,	30646,	37532,	236.8,	144472,	95335595,	
17,	15412,	41456,	36664,	39427,	97,	212959,	93824452,	
17,	5194,	33238,	33040,	38543,	234.3,	150015,	94014467,	
17,	5182,	31829,	32073,	46043,	235.8,	155127,	94209594,	
17,	5159,	30554,	29895,	36712,	234.8,	142320,	94351914,	
17,	5076,	32010,	35663,	37455,	238.4,	150204,	94542118,	
17,	5146,	30507,	29916,	40601,	236.3,	146170,	94728288,	
17,	5148,	30302,	29824,	36954,	235.8,	142228,	94910516,	
17,	5134,	30441,	32346,	42495,	234.8,	150416,	95100932,	
17,	5134,	30430,	29974,	39461,	235.8,	144999,	95245931,	
17,	5150,	30476,	29883,	37069,	236.3,	142578,	95428509,	
19,	15068,	42516,	36732,	40093,	103.5,	214409,	93826591,	
19,	5239,	33498,	34166,	39030,	227.4,	151933,	94018524,	
19,	5268,	33009,	33353,	47137,	230.8,	158767,	94217291,	
19,	5168,	31002,	30399,	37099,	234.8,	143668,	94400959,	
19,	5158,	30678,	30446,	36888,	235.3,	143170,	94544129,	
19,	5142,	37204,	34516,	40082,	236.8,	156944,	94741073,	
19,	5181,	30769,	31948,	41298,	234.3,	149196,	94930269,	
19,	5141,	30753,	30327,	36979,	234.8,	143200,	95113469,	
19,	5126,	35004,	33826,	42400,	235.3,	156356,	95309825,	
21,	12388,	43379,	39981,	41677,	140.3,	217425,	93823137,	
21,	5627,	34748,	34787,	38671,	213,	153833,	94016970,	
21,	5396,	32747,	33429,	46913,	224.5,	158485,	94215455,	
21,	5220,	30694,	30180,	37083,	232.3,	143177,	94358632,	
21,	5184,	32490,	33662,	37481,	234.3,	148817,	94547449,	
21,	5169,	30572,	30089,	37191,	235.3,	143021,	94730470,	
21,	5159,	33120,	35700,	38010,	231.8,	151989,	94922459,	
21,	5176,	30427,	30198,	37145,	234.3,	142946,	95105405,	
21,	5129,	34878,	33431,	37979,	229.8,	151417,	95256822,	
21,	5159,	30582,	30068,	37026,	236.3,	142835,	95439657,	
22,	13637,	40881,	39973,	41678,	135.3,	216169,	93851834,	
22,	5205,	35713,	38206,	39040,	234.3,	158164,	94049998,	
22,	5151,	33458,	37897,	42808,	235.3,	159314,	94249312,	
22,	5173,	30831,	30495,	37054,	234.3,	143553,	94432865,	
22,	5182,	30610,	30322,	36947,	233.8,	143061,	94615926,	
22,	5151,	37200,	39801,	39640,	234.8,	201792,	94817718,	
22,	5170,	30688,	30292,	37344,	234.8,	143494,	95001212,	
22,	5139,	37237,	36109,	40933,	235.3,	159418,	95200630,	
22,	5169,	30677,	30294,	37257,	233.3,	143397,	95344027,	
